"","area","Age1","Sex","current_risk","pnothome","disease_status","exposed_days","presymp_days","symp_days","id","house_id"
"1","u",4,1,4.61923393653706,0.730535586845221,4,0,4,5,1,24
"2","x",7,0,7.50778376590461,0.597184020579473,1,3,3,9,2,5
"3","m",3,0,5.33765563042834,0.439030241075667,4,4,2,3,3,19
"4","c",7,0,4.05527573311701,0.752947652889816,4,0,0,5,4,23
"5","m",10,0,4.50114141916856,0.405370795461391,6,1,4,7,5,9
"6","w",9,1,8.3227086183615,0.610083568012785,4,0,4,16,6,8
"7","f",9,0,2.80332123860717,0.84785459959807,4,4,3,1,7,8
"8","b",2,0,5.24540143785998,1.14169379280547,4,0,2,17,8,5
"9","s",6,1,8.56179832480848,0.704663537256133,6,1,0,20,9,5
"10","m",1,1,2.49460219405591,0.428737101459221,1,4,3,11,10,23
"11","y",2,0,2.81234897905961,0.702021157556117,5,2,0,12,11,10
"12","s",5,1,6.13660442875698,0.694167349825175,0,0,0,11,12,22
"13","s",5,0,7.33794474508613,0.999587960499294,5,4,0,9,13,18
"14","a",4,1,1.71339497203007,0.349671608366784,4,3,0,9,14,17
"15","b",10,0,3.66076127858832,0.566428965068349,0,0,2,1,15,16
"16","z",8,1,0.208908943459392,0.209984820546377,0,4,0,16,16,13
"17","e",6,1,4.18593716574833,0.705218333404583,0,2,2,7,17,9
"18","h",2,1,8.03698430769145,0.755176420032159,0,2,4,7,18,10
"19","e",8,0,0.780216413550079,0.869670224728534,3,2,2,2,19,25
"20","y",10,0,0.0135727529413998,0.873101930939873,1,4,3,21,20,22
"21","z",3,0,5.70455443812534,1.03923321481851,5,1,4,8,21,7
"22","u",6,1,8.98521902272478,0.777826260321077,1,1,2,20,22,20
"23","f",9,0,5.60524926520884,0.809324367166706,0,4,3,5,23,3
"24","i",7,1,4.18903893791139,0.373568561902598,0,0,0,20,24,20
"25","v",9,0,0.220950795337558,0.603299355588366,4,0,2,18,25,11
"26","o",9,1,5.86953005287796,0.319660244010416,2,4,3,9,26,3
"27","c",1,0,3.96482134237885,0.544829455128979,1,2,4,11,27,11
"28","q",6,1,4.14173965342343,1.07402884382441,1,2,0,0,28,19
"29","c",3,1,9.91424814099446,0.603257468080519,4,4,3,9,29,2
"30","c",9,0,4.88089051330462,0.632848845217059,1,2,4,15,30,18
"31","f",10,0,7.43618940934539,0.876518419634227,1,1,0,17,31,14
"32","x",7,1,3.17386638373137,0.874114219643493,2,4,0,8,32,10
"33","d",2,0,0.339641310274601,0.880797335030742,5,3,0,13,33,11
"34","c",7,1,7.9217839287594,0.468289829441438,0,0,2,13,34,20
"35","b",4,1,3.1059323810041,0.995278575784268,1,2,3,13,35,23
"36","i",4,0,7.54086827393621,0.582294320536269,6,4,1,6,36,11
"37","c",2,0,1.65582517394796,0.932311464862324,2,0,3,11,37,7
"38","t",2,0,6.99076572433114,0.580988945889603,0,3,2,20,38,6
"39","r",10,1,8.29887880478054,0.976263377135452,4,3,0,9,39,12
"40","r",4,1,6.27611673437059,0.905419880793938,4,1,4,2,40,24
"41","c",2,0,0.924469907768071,0.694935516690044,2,4,1,10,41,25
"42","w",10,0,9.30340364808217,0.79576714950365,0,3,1,13,42,11
"43","f",1,1,0.500154858455062,0.668863986664341,1,1,4,1,43,19
"44","f",8,0,7.56470096530393,0.64726292212176,1,2,0,16,44,10
"45","k",5,0,8.70945595437661,0.836166340877352,4,4,2,4,45,12
"46","l",8,0,9.7413444519043,0.884085569108596,0,0,0,6,46,8
"47","y",3,0,0.755729973316193,0.903986234176241,1,0,4,11,47,20
"48","a",10,1,4.16227522538975,0.596167291390083,3,0,3,8,48,21
"49","z",4,1,4.1873851348646,0.983135579928396,4,4,3,2,49,3
"50","g",4,1,7.07093337317929,0.407149707081835,2,0,3,14,50,10
"51","e",7,1,6.51708955643699,0.629119200118342,1,2,3,15,51,3
"52","g",4,0,2.95102000236511,0.56798100955503,2,3,2,5,52,1
"53","l",5,1,2.83232585992664,0.845816088878829,4,4,2,3,53,21
"54","n",7,1,6.96425970876589,0.566653776262203,5,3,2,16,54,1
"55","l",6,1,6.4452249603346,0.689010293781218,0,4,3,12,55,6
"56","z",9,1,3.23203134117648,0.651842779693375,3,3,3,2,56,23
"57","d",5,0,7.58272355888039,0.959705525494126,1,2,3,16,57,19
"58","i",9,0,0.0448812544345856,0.190929161362953,0,1,1,7,58,20
"59","x",9,0,3.90864805784076,0.781867675360753,6,2,1,14,59,19
"60","t",8,0,0.504778833128512,0.807106970959363,2,0,2,11,60,21
"61","h",4,0,8.52844686480239,0.612564584046952,1,1,4,1,61,20
"62","c",10,0,4.8034773604013,0.263533479023598,3,4,0,2,62,17
"63","q",4,0,7.40009642438963,0.484265132271428,0,0,1,18,63,14
"64","r",10,0,4.91383858025074,0.818558997278517,2,0,0,12,64,18
"65","a",10,1,9.23232883214951,0.831920096238649,0,2,0,2,65,23
"66","d",5,1,3.5268221818842,0.626019576553083,2,2,0,3,66,25
"67","r",1,0,1.72471355181187,0.433442157805601,4,4,0,17,67,25
